"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will create a new employee","FAILURE","2022-06-07T23:15:16.873+01:00[Europe/London]","0.0","3.66"
"Dummy rest APICURD test","This test will get an employee by ID","FAILURE","2022-06-07T23:15:20.544+01:00[Europe/London]","0.0","0.9"
"Dummy rest APICURD test","This will Update an employee by ID","ERROR","2022-06-07T23:15:21.442+01:00[Europe/London]","0.0","1.86"
"Dummy rest APICURD test","This will Delete an employee by ID","FAILURE","2022-06-07T23:15:23.301+01:00[Europe/London]","0.0","0.9"
"Dummy rest APICURD test","This test will verify if total records are 24","ERROR","2022-06-07T23:15:24.200+01:00[Europe/London]","0.0","0.83"
"Dummy rest APICURD test","2. Verify if Data[23] id is 24","SUCCESS","2022-06-07T23:15:25.032+01:00[Europe/London]","0.0","1.23"
"Dummy rest APICURD test","3. Verify if 23rd employee name is Doris Wilder","SUCCESS","2022-06-07T23:15:26.263+01:00[Europe/London]","0.0","1.03"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-07T23:15:27.296+01:00[Europe/London]","0.0","0.79"
"Dummy rest APICURD test","5. Verify if status is success","ERROR","2022-06-07T23:15:28.086+01:00[Europe/London]","0.0","1.04"
"Dummy rest APICURD test","6. Verify 3rd id salary is 86000","ERROR","2022-06-07T23:15:29.125+01:00[Europe/London]","0.0","0.77"
"Dummy rest APICURD test","7. Verify 6th id age is 61","SUCCESS","2022-06-07T23:15:29.891+01:00[Europe/London]","0.0","0.76"
"Dummy rest APICURD test","8. Verify 11th id name is Jena Gaines","SUCCESS","2022-06-07T23:15:30.650+01:00[Europe/London]","0.0","0.85"
